ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),City_Code
0x3ec5,RANCHIRES01DEL03,20.0,4.9,23.416792,85.316842,23.506792,85.406842,20-03-2022,22:10,22:20,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,RAN
0xadb4,JAPRES17DEL03,24.0,4.6,26.892312,75.806896,26.922313,75.836896,03-04-2022,20:50,21:05,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,JAP
0x2bc0,INDORES14DEL01,39.0,4.2,22.761593,75.886362,22.871593,75.996362,29-03-2022,18:45,18:50,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,IND
0xe264,KNPRES17DEL02,22.0,4.5,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20,22:35,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,KNP
0x9a29,RANCHIRES04DEL01,33.0,4.7,23.359033,85.325347,23.469033,85.435347,08-03-2022,21:10,21:20,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,RAN
0xd0e5,KOLRES17DEL03,23.0,4.6337736972250205,22.569358,88.433452,22.599358,88.463452,17-02-2022,23:25,23:35,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,KOL
0x977d,INDORES19DEL02,27.0,4.7,22.745536,75.893106,22.765536,75.913106,09-03-2022,0.375,09:05,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,IND
0x8d18,RANCHIRES12DEL02,23.0,4.8,0.0,0.0,0.02,0.02,03-04-2022,10:25,10:35,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,RAN
0xd7ec,KOLRES04DEL03,29.0,4.3,22.538731,88.364878,22.598731,88.424878,13-02-2022,23:50,23:55,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,KOL
0x82c3,RANCHIRES04DEL02,22.0,4.8,23.359033,85.325347,23.439033,85.405347,14-03-2022,22:10,22:25,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,RAN
0x3a5a,INDORES08DEL02,24.0,4.9,22.725748,75.898497,22.775748,75.948497,28-03-2022,18:15,18:25,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,IND
0x6cc6,JAPRES08DEL02,33.0,4.5,26.910262,75.783013,26.990262,75.863013,02-03-2022,19:10,19:15,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,JAP
0xc141,ALHRES12DEL01,39.0,4.7,25.443994,81.860187,25.513994,81.930187,16-02-2022,18:45,0.791666667,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,ALH
0x690f,RANCHIRES11DEL03,37.0,4.6,23.359194,85.325447,23.449194,85.415447,29-03-2022,18:15,18:25,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,RAN
0x1b58,JAPRES03DEL01,30.0,4.6337736972250205,26.913483,75.803139,26.983483,75.873139,12-03-2022,,17:50,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,JAP
0x7ece,RANCHIRES18DEL01,39.0,4.7,23.351489,85.324253,23.421489,85.394253,31-03-2022,19:35,19:45,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,RAN
0x1365,INDORES06DEL02,38.0,3.9,22.728163,75.884212,22.808163,75.964212,06-03-2022,19:10,19:20,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,IND
0x8f3c,JAPRES07DEL02,29.0,4.7,26.766536,75.837333,26.786536,75.857333,01-03-2022,09:50,10:05,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,JAP
0xd02b,KNPRES16DEL03,26.0,4.1,26.482581,80.315628,26.572581,80.405628,12-02-2022,19:45,19:50,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,KNP
0x7085,JAPRES09DEL01,21.0,4.7,26.911378,75.789034,26.921378,75.799034,03-03-2022,0.375,09:10,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,JAP
0xceac,KOLRES18DEL03,37.0,5.0,22.569367,88.433187,22.629367,88.493187,17-02-2022,19:55,20:05,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,KOL
0x6118,INDORES09DEL01,26.0,4.9,22.725835,75.887648,22.835835,75.997648,25-03-2022,17:10,17:25,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,IND
0x5134,RANCHIRES01DEL02,29.0,4.7,23.416792,85.316842,23.436792,85.336842,03-03-2022,10:30,10:45,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,RAN
0xd418,LUDHRES010DEL03,21.0,4.9,30.89286,75.822199,30.92286,75.852199,15-02-2022,18:10,18:20,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,LUD
0x6055,JAPRES18DEL02,31.0,4.0,26.913987,75.752891,26.993987,75.832891,18-03-2022,17:50,18:05,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,JAP
0xe00d,ALHRES07DEL03,29.0,4.6,25.449659,81.839744,25.479659,81.869744,15-02-2022,20:30,20:45,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,ALH
0x1e86,JAPRES06DEL03,26.0,4.9,26.911927,75.797282,27.051927,75.937282,29-03-2022,22:55,0.958333333,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,JAP
0x9a57,RANCHIRES03DEL02,24.0,4.7,0.0,0.0,0.13,0.13,16-03-2022,20:20,20:25,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,RAN
0x52e2,JAPRES07DEL02,36.0,4.8,26.766536,75.837333,26.896536,75.967333,20-03-2022,18:15,18:20,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,JAP
0x9395,JAPRES13DEL03,36.0,4.4,26.846156,75.8023,26.986156,75.9423,29-03-2022,23:35,23:50,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,37,JAP
0xb5d2,JAPRES18DEL03,26.0,4.7,26.913987,75.752891,27.053987,75.892891,04-03-2022,19:35,19:40,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,JAP
0x1b5b,RANCHIRES14DEL01,30.0,4.6337736972250205,0.0,0.0,0.07,0.07,02-03-2022,,20:50,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,RAN
0xe13f,KNPRES02DEL02,33.0,4.6,26.471617,80.313564,26.491617,80.333564,11-02-2022,0.458333333,11:10,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,KNP
0xdd96,KNPRES16DEL01,32.0,4.8,26.482581,80.315628,26.552581,80.385628,14-02-2022,0.875,21:10,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,KNP
0xd032,AGRRES08DEL03,21.0,4.8,27.160934,78.044095,27.220934,78.104095,11-02-2022,18:55,0.791666667,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,AGR
0x871c,RANCHIRES12DEL02,30.0,4.9,0.0,0.0,0.08,0.08,18-03-2022,23:45,23:55,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,RAN
0x2391,INDORES13DEL03,33.0,4.5,22.745049,75.892471,22.835049,75.982471,10-03-2022,22:50,23:05,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,IND
0x7ddd,INDORES12DEL03,35.0,4.2,22.74806,75.8934,22.83806,75.9834,20-03-2022,19:30,19:40,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,IND
0xdad6,AGRRES11DEL02,34.0,4.7,27.163303,78.057044,27.293303,78.187044,12-02-2022,23:10,23:20,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,AGR
0xc237,KNPRES15DEL02,20.0,4.7,26.482419,80.320939,26.502419,80.340939,11-02-2022,11:10,11:25,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,KNP
0xd92f,AGRRES03DEL01,35.0,4.9,27.160832,78.011608,27.230832,78.081608,18-02-2022,21:15,21:30,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,AGR
0xd91a,LUDHRES18DEL01,28.0,4.9,30.890184,75.829615,31.000184,75.939615,14-02-2022,21:20,21:35,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,LUD
0xc63e,DEHRES010DEL01,32.0,4.3,30.328174,78.049117,30.398174,78.119117,16-02-2022,18:40,18:55,Cloudy,Medium,1,Meal,scooter,2.0,No,Metropolitian,35,DEH
0xc044,AGRRES12DEL03,32.0,4.7,-27.165108,78.015053,27.225108,78.075053,13-02-2022,20:55,21:10,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,31,AGR
0xd7d3,DEHRES12DEL02,39.0,4.1,0.0,0.0,0.13,0.13,14-02-2022,21:35,21:40,Cloudy,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,39,DEH
0xdeac,LUDHRES05DEL03,36.0,4.9,30.905562,75.832841,30.995562,75.922841,18-02-2022,17:15,17:30,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,31,LUD
0xa053,JAPRES16DEL03,37.0,3.8,26.849596,75.800512,26.989596,75.940512,04-04-2022,20:45,20:55,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,42,JAP
0xd3bc,AGRRES010DEL02,37.0,4.4,27.163303,78.057044,27.243303,78.137044,18-02-2022,0.916666667,22:10,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,39,AGR
0x7c84,JAPRES04DEL03,35.0,4.9,26.902328,75.794257,26.932328,75.824257,26-03-2022,18:35,18:40,Fog,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,18,JAP
0xd4da,KNPRES12DEL01,27.0,5.0,26.492106,80.327797,26.562106,80.397797,16-02-2022,20:55,21:05,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,KNP
0x6a7,RANCHIRES08DEL01,30.0,4.6337736972250205,23.353783,85.326967,23.463783,85.436967,04-04-2022,,19:45,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,39,RAN
0xb50,JAPRES16DEL02,37.0,4.3,26.849596,75.800512,26.869596,75.820512,15-03-2022,11:55,12:05,Stormy,High,2,Meal,scooter,1.0,No,Metropolitian,34,JAP
0x4357,INDORES06DEL02,21.0,5.0,22.728163,75.884212,22.858163,76.014212,02-04-2022,17:10,17:15,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,IND
0x490e,RANCHIRES12DEL02,36.0,4.7,0.0,0.0,0.02,0.02,13-03-2022,11:50,0.5,Sandstorms,High,2,Meal,scooter,2.0,No,Metropolitian,32,RAN
0x7ada,JAPRES07DEL02,21.0,4.7,26.766536,75.837333,26.896536,75.967333,04-04-2022,20:30,20:40,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,27,JAP
0x555d,INDORES15DEL03,23.0,4.6,22.760072,75.892574,22.850072,75.982574,29-03-2022,21:30,21:35,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,27,IND
0xb2e9,INDORES17DEL03,31.0,4.2,22.761226,75.887522,22.821226,75.947522,05-03-2022,17:25,17:35,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,IND
0xa998,JAPRES14DEL01,28.0,4.5,26.88842,75.800689,26.89842,75.810689,03-03-2022,10:25,10:35,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,JAP
0x8a06,RANCHIRES010DEL02,34.0,4.8,23.354422,85.3329,23.484422,85.4629,12-03-2022,22:45,22:50,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,RAN
0x83ea,RANCHIRES01DEL01,32.0,4.5,23.416792,85.316842,23.456792,85.356842,05-04-2022,12:20,12:25,Cloudy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,27,RAN
0x12e7,INDORES07DEL03,33.0,3.9,22.722634,75.886959,22.812634,75.976959,08-03-2022,17:25,17:30,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,IND
0x5956,INDORES19DEL02,34.0,4.5,22.745536,75.893106,22.765536,75.913106,21-03-2022,10:35,10:45,Windy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,25,IND
0xde16,ALHRES09DEL01,27.0,4.8,0.0,0.0,0.01,0.01,15-02-2022,08:10,08:20,Sunny,Low,1,Meal,motorcycle,0.0,No,Metropolitian,15,ALH
0xc8c7,KOLRES03DEL02,32.0,4.5,22.526461,88.364453,22.576461,88.414453,13-02-2022,17:10,17:15,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,KOL
0xaa97,RANCHIRES16DEL01,39.0,4.1,23.371292,85.327872,23.441292,85.397872,27-03-2022,18:40,18:50,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,32,RAN
0x869e,RANCHIRES01DEL03,37.0,4.8,23.416792,85.316842,23.476792,85.376842,26-03-2022,0.875,21:05,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,26,RAN
0xb6d2,RANCHIRES01DEL02,28.0,4.7,23.416792,85.316842,23.436792,85.336842,01-03-2022,11:40,11:55,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,28,RAN
0xc873,KOLRES15DEL03,31.0,4.0,22.552672,88.352885,22.642672,88.442885,14-02-2022,17:45,17:55,Windy,Medium,0,Drinks,motorcycle,3.0,Yes,Metropolitian,45,KOL
0xc595,DEHRES19DEL01,29.0,4.6,30.372202,78.077151,30.442202,78.147151,18-02-2022,23:40,23:55,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,DEH
0x7e1f,RANCHIRES18DEL03,26.0,4.9,23.351489,85.324253,23.411489,85.384253,13-03-2022,20:15,20:20,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,RAN
0x2258,JAPRES07DEL03,26.0,4.7,26.766536,75.837333,26.826536,75.897333,09-03-2022,22:45,22:55,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,14,JAP
0x1fd6,INDORES07DEL01,35.0,4.7,22.722634,75.886959,22.762634,75.926959,03-03-2022,15:10,15:15,Cloudy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,17,IND
0x6de3,JAPRES20DEL03,37.0,4.9,26.956431,75.776649,27.046431,75.866649,20-03-2022,19:10,19:25,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,48,JAP
0x1623,INDORES010DEL03,37.0,4.8,22.75004,75.902847,22.78004,75.932847,07-03-2022,20:50,20:55,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,25,IND
0xaa66,RANCHIRES03DEL02,22.0,4.6,0.0,0.0,0.13,0.13,04-04-2022,20:35,20:45,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,22,RAN
0x1b6a,RANCHIRES18DEL02,30.0,4.6337736972250205,23.351489,85.324253,23.431489,85.404253,04-04-2022,,22:35,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,28,RAN
0xb8aa,JAPRES19DEL02,27.0,4.5,26.913726,75.75282,26.933726,75.77282,03-04-2022,08:10,08:15,Stormy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,13,JAP
0xc668,KOLRES18DEL01,29.0,5.0,22.569367,88.433187,22.639367,88.503187,12-02-2022,20:55,21:10,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,KOL
0x824a,INDORES12DEL01,21.0,4.9,22.74806,75.8934,22.75806,75.9034,05-03-2022,08:30,08:45,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,12,IND
0xcb5b,LUDHRES16DEL01,33.0,4.4,30.895817,75.813112,30.905817,75.823112,13-02-2022,09:25,09:40,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,24,LUD
0x4cab,RANCHIRES06DEL03,35.0,4.7,23.357804,85.325146,23.417804,85.385146,01-03-2022,21:30,21:40,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,29,RAN
0xc003,DEHRES13DEL02,30.0,4.6337736972250205,-30.366322,-78.070453,30.496322,78.200453,18-02-2022,,22:30,,Unknown,3,Snack,scooter,1.0,No,Metropolitian,20,DEH
0xd6ef,AGRRES01DEL02,24.0,4.4,27.161661,78.011544,27.241661,78.091544,18-02-2022,20:45,0.875,Cloudy,Jam,2,Meal,scooter,0.0,No,Metropolitian,40,AGR
0x14d0,RANCHIRES01DEL03,30.0,4.7,23.416792,85.316842,23.476792,85.376842,24-03-2022,23:45,1,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,15,RAN
0xd800,DEHRES07DEL02,37.0,4.7,30.362686,78.06889,30.492686,78.19889,12-02-2022,21:20,21:30,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,39,DEH
0x6445,JAPRES17DEL02,34.0,3.5,26.892312,75.806896,26.972313,75.886896,31-03-2022,17:35,17:40,Windy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,32,JAP
0xd989,KOLRES04DEL03,25.0,4.6,22.538731,88.364878,22.598731,88.424878,15-02-2022,17:40,17:50,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,23,KOL
0xdeb4,LUDHRES06DEL02,34.0,4.9,30.895204,75.822103,30.945204,75.872103,17-02-2022,22:40,22:55,Stormy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,LUD
0xd446,ALHRES08DEL03,28.0,4.9,25.450329,81.834279,25.540329,81.924279,12-02-2022,22:15,22:20,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,10,ALH
0x5d2d,JAPRES20DEL01,24.0,4.5,26.956431,75.776649,27.066431,75.886649,08-03-2022,23:30,23:40,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,14,JAP
0xc1ec,DEHRES04DEL03,32.0,4.8,30.340722,78.060221,30.430722,78.150221,16-02-2022,17:30,17:45,Sunny,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,17,DEH
0x33a0,JAPRES06DEL03,29.0,4.5,26.911927,75.797282,27.001927,75.887282,31-03-2022,0.791666667,19:10,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,37,JAP
0x9155,INDORES05DEL02,26.0,4.8,22.727021,75.884167,22.747021,75.904167,26-03-2022,09:50,0.416666667,Windy,Low,2,Buffet,scooter,0.0,No,Metropolitian,14,IND
0x3d8c,INDORES02DEL03,33.0,4.8,22.651847,75.881991,22.681847,75.911991,24-03-2022,23:15,23:25,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,28,IND
0xd3fa,ALHRES17DEL03,37.0,4.9,25.45235,81.841889,25.48235,81.871889,11-02-2022,20:30,20:45,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,27,ALH
0x575d,RANCHIRES04DEL02,27.0,4.1,23.359033,85.325347,23.379033,85.345347,11-03-2022,10:20,10:25,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,RAN
0xb6a0,RANCHIRES14DEL01,23.0,4.2,0.0,0.0,0.07,0.07,16-03-2022,18:40,18:50,Windy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,34,RAN
0x2cb6,JAPRES13DEL01,25.0,4.7,26.846156,75.8023,26.956156,75.9123,25-03-2022,19:40,19:55,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,20,JAP
0xd747,AGRRES07DEL02,31.0,4.3,27.160934,78.044095,27.180934,78.064095,11-02-2022,09:30,09:45,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,AGR
0xac01,INDORES08DEL02,33.0,4.8,22.725748,75.898497,22.805747,75.978497,18-03-2022,23:35,23:45,Sunny,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,28,IND
0xe076,AGRRES02DEL03,38.0,4.1,0.0,0.0,0.09,0.09,16-02-2022,20:15,20:25,Sandstorms,Jam,2,Snack,scooter,2.0,No,Metropolitian,38,AGR
0x788d,JAPRES05DEL01,28.0,5.0,26.905287,75.794592,27.015287,75.904592,06-04-2022,19:55,0.833333333,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,40,JAP
0xcd30,KOLRES03DEL03,27.0,4.9,22.526461,88.364453,22.616461,88.454453,18-02-2022,21:25,21:35,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,25,KOL
0xdd28,AGRRES11DEL02,35.0,4.5,27.163303,78.057044,27.293303,78.187044,18-02-2022,22:45,22:50,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,AGR
0x1b03,INDORES01DEL02,34.0,4.9,22.695207,75.866059,22.715207,75.886059,01-04-2022,0.5,12:15,Windy,High,0,Snack,motorcycle,0.0,No,Metropolitian,31,IND
0x3e9b,JAPRES08DEL03,34.0,4.9,26.910262,75.783013,26.940262,75.813013,26-03-2022,20:20,20:25,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,JAP
0x5a5d,RANCHIRES03DEL02,31.0,4.9,0.0,0.0,0.02,0.02,07-03-2022,0.458333333,11:10,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,16,RAN
0xab46,INDORES05DEL02,29.0,4.7,22.727021,75.884167,22.777021,75.934167,01-04-2022,18:20,18:30,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,20,IND
0x38c5,JAPRES02DEL01,20.0,4.7,26.914142,75.805704,27.024142,75.915704,12-03-2022,22:35,22:40,Stormy,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,12,JAP
0xc951,DEHRES08DEL03,36.0,4.8,30.359722,78.067079,30.499722,78.207079,18-02-2022,17:40,17:55,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,42,DEH
0xb0e7,JAPRES20DEL02,31.0,4.7,26.956431,75.776649,27.006431,75.826649,09-03-2022,22:30,22:35,Windy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,28,JAP
0xcdf4,BHPRES03DEL02,25.0,4.6,23.214294,77.435361,23.264294,77.485361,11-02-2022,18:20,18:25,Sunny,Medium,1,Snack,scooter,0.0,No,Metropolitian,16,BHP
0x1983,INDORES09DEL01,32.0,4.7,22.725835,75.887648,22.765835,75.927648,01-03-2022,16:10,16:15,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,IND
0x7648,RANCHIRES11DEL02,36.0,4.9,23.359194,85.325447,23.489194,85.455447,25-03-2022,20:30,20:35,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,RAN
0x15f4,RANCHIRES16DEL02,39.0,4.8,23.371292,85.327872,23.501292,85.457872,18-03-2022,21:35,21:40,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,47,RAN
0x711a,JAPRES07DEL02,21.0,5.0,26.766536,75.837333,26.846536,75.917333,10-03-2022,23:10,23:20,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,25,JAP
0x32b0,RANCHIRES01DEL01,30.0,4.6337736972250205,23.416792,85.316842,23.526792,85.426842,27-03-2022,,20:25,,Unknown,3,Snack,scooter,0.0,No,Metropolitian,29,RAN
0x7726,INDORES07DEL01,38.0,4.5,22.722634,75.886959,22.732634,75.896959,28-03-2022,08:15,08:20,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,24,IND
0x8227,JAPRES16DEL01,22.0,4.3,26.849596,75.800512,26.919596,75.870512,18-03-2022,19:50,0.833333333,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,36,JAP
0xc082,ALHRES11DEL03,34.0,4.8,0.0,0.0,0.06,0.06,11-02-2022,18:40,18:50,Sunny,Medium,1,Snack,scooter,0.0,No,Metropolitian,18,ALH
0xa35,INDORES11DEL01,30.0,4.6337736972250205,22.751234,75.88949,22.761234,75.89949,05-03-2022,,11:05,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,27,IND
